year,month,day,exercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022,4,30,delt row,13.0,0.0,11,0.0,11.0,0.0,0,0.0
2022,4,30,Weighted Pull ups,6.0,10.0,5,10.0,6.0,5.0,0,0.0
2022,4,30,straight arm pulldown,18.0,20.0,16,20.0,14.0,20.0,0,0.0
2022,4,30,Overhead press,6.0,40.0,7,35.0,7.0,35.0,0,0.0
2022,4,30,Barbell curls,8.0,40.0,8,40.0,7.0,40.0,0,0.0
2022,4,30,Bench press,4.0,70.0,5,65.0,6.0,60.0,6,60.0
2022,5,2,reverse nordics,16.0,10.0,14,0.0,14.0,0.0,0,0.0
2022,5,2,leg curls,10.0,5.0,7,5.0,8.0,5.0,0,0.0
2022,5,2,Backsquats,6.0,85.0,5,85.0,6.0,80.0,5,80.0
2022,5,2,Rdls,11.0,105.0,10,105.0,13.0,100.0,0,0.0
2022,5,4,Dips,10.0,0.0,9,0.0,8.0,0.0,0,0.0
2022,5,4,Ring rows,14.0,0.0,10,0.0,9.0,0.0,0,0.0
2022,5,4,Tricep extensions,15.0,0.0,12,0.0,10.0,0.0,0,0.0
2022,5,4,side lateral,16.0,5.0,15,5.0,12.0,5.0,0,0.0
2022,5,4,one arm lat pulldown,10.0,25.0,10,25.0,9.0,25.0,0,0.0
2022,5,4,Bench press (pause),4.0,65.0,5,60.0,6.0,57.5,5,57.5
2022,5,6,BW ATG split squats,20.0,0.0,18,0.0,18.0,0.0,0,0.0
2022,5,6,Hamstring curls,15.0,5.0,14,5.0,13.0,5.0,0,0.0
2022,5,6,Squat (Pin),4.0,75.0,7,70.0,8.0,65.0,0,0.0
2022,5,6,Sumo DL,5.0,120.0,5,115.0,5.0,115.0,5,115.0
2022,5,8,delt row,14.0,0.0,12,0.0,11.0,0.0,0,0.0
2022,5,8,straight arm pulldown,12.0,0.0,12,0.0,11.0,0.0,0,0.0
2022,5,8,Weighted Pull ups,6.0,10.0,5,10.0,7.0,5.0,0,0.0
2022,5,8,Barbell curls,9.0,40.0,8,40.0,7.0,40.0,0,0.0
2022,5,8,Overhead press,6.0,42.5,5,42.5,5.0,40.0,0,0.0
2022,5,8,Bench press,3.0,70.0,5,65.0,6.0,60.0,6,60.0
2022,5,10,reverse nordics,14.0,0.0,13,0.0,12.0,0.0,0,0.0
2022,5,10,leg curls,7.0,10.0,7,10.0,7.0,10.0,0,0.0
2022,5,10,Backsquats,6.0,87.5,5,87.5,6.0,85.0,5,85.0
2022,5,10,Rdls,10.0,110.0,12,105.0,12.0,105.0,0,0.0
2022,5,12,Dips,12.0,0.0,9,0.0,7.0,0.0,0,0.0
2022,5,12,Ring rows,16.0,0.0,11,0.0,10.0,0.0,0,0.0
2022,5,12,Tricep extensions,16.0,0.0,14,0.0,11.0,0.0,0,0.0
2022,5,12,side lateral,17.0,5.0,14,5.0,15.0,3.75,0,0.0
2022,5,12,one arm lat pulldown,9.0,30.0,9,30.0,8.0,30.0,0,0.0
2022,5,12,Larsen Press,5.0,65.0,8,60.0,6.0,60.0,5,60.0
2022,5,14,BW ATG split squats,22.0,0.0,20,0.0,20.0,0.0,0,0.0
2022,5,14,Hamstring curls,10.0,10.0,9,10.0,9.0,10.0,0,0.0
2022,5,14,Squat (Pin),6.0,75.0,6,75.0,6.0,75.0,0,0.0
2022,5,14,Sumo DL,5.0,120.0,4,120.0,6.0,115.0,5,115.0
2022,5,18,delt row,13.0,0.0,11,0.0,10.0,0.0,0,0.0
2022,5,18,straight arm pulldown,11.0,5.0,11,5.0,11.0,5.0,0,0.0
2022,5,18,Weighted Pull ups,7.0,10.0,6,10.0,5.0,10.0,0,0.0
2022,5,18,Barbell curls,8.0,42.5,8,40.0,7.0,40.0,0,0.0
2022,5,18,Overhead press,5.0,45.0,5,42.5,5.0,40.0,0,0.0
2022,5,18,Bench press,3.0,70.0,5,65.0,4.0,65.0,7,60.0
2022,5,20,reverse nordics,14.0,0.0,13,0.0,12.0,0.0,0,0.0
2022,5,20,leg curls,11.0,10.0,10,10.0,9.0,10.0,0,0.0
2022,5,20,Backsquats,5.0,90.0,6,85.0,6.0,85.0,5,85.0
2022,5,20,Rdls,10.0,110.0,12,105.0,12.0,105.0,0,0.0
2022,5,22,Dips,8.0,5.0,10,0.0,9.0,0.0,0,0.0
2022,5,22,Ring rows,15.0,0.0,13,0.0,12.0,0.0,0,0.0
2022,5,22,Tricep extensions,14.0,0.0,13,0.0,12.0,0.0,0,0.0
2022,5,22,side lateral,14.0,5.0,11,5.0,10.0,5.0,0,0.0
2022,5,22,one arm lat pulldown,9.0,30.0,8,30.0,8.0,30.0,0,0.0
2022,5,22,Larsen Press,5.0,67.5,7,62.5,5.0,62.5,6,60.0
2022,5,26,BW lunges,34.0,0.0,16,10.0,16.0,10.0,0,0.0
2022,5,26,Hamstring curls,12.0,10.0,11,10.0,9.0,10.0,0,0.0
2022,5,26,Squat (Pin),6.0,80.0,5,80.0,7.0,75.0,0,0.0
2022,5,26,Sumo DL,4.0,125.0,5,120.0,4.0,120.0,6,115.0
2022,5,28,delt row,13.0,0.0,11,0.0,11.0,0.0,0,0.0
2022,5,28,leg curls,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,5,28,reverse nordics,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2022,5,28,straight arm pulldown,13.0,5.0,12,5.0,10.0,5.0,0,0.0
2022,5,28,Weighted Pull ups,8.0,10.0,6,10.0,6.0,10.0,0,0.0
2022,5,28,Barbell curls,8.0,42.5,6,42.5,7.0,40.0,0,0.0
2022,5,28,Overhead press,5.0,45.0,5,42.5,6.0,40.0,0,0.0
2022,5,28,good mornings,12.0,50.0,12,50.0,12.0,50.0,0,0.0
2022,5,28,Bench press,4.0,67.5,5,65.0,5.0,62.5,5,62.5
2022,5,28,Backsquats,5.0,90.0,5,90.0,6.0,85.0,6,85.0
2022,6,2,Dips,8.0,5.0,8,0.0,6.0,0.0,0,0.0
2022,6,2,Ring rows,14.0,0.0,10,0.0,8.0,0.0,0,0.0
2022,6,2,Tricep extensions,12.0,0.0,14,0.0,13.0,0.0,0,0.0
2022,6,2,side lateral,15.0,5.0,15,5.0,14.0,5.0,0,0.0
2022,6,2,one arm lat pulldown,9.0,30.0,8,30.0,8.0,30.0,0,0.0
2022,6,2,Larsen Press,4.0,70.0,5,65.0,7.0,62.5,5,62.5
2022,6,4,Hamstring curls,11.0,10.0,10,10.0,9.0,10.0,0,0.0
2022,6,4,atg heel elevated squat,16.0,19.5,12,19.5,11.0,19.5,0,0.0
2022,6,4,Squat (Pin),7.0,80.0,7,80.0,6.0,80.0,0,0.0
2022,6,4,Sumo DL,5.0,125.0,5,120.0,5.0,120.0,6,115.0
2022,6,6,delt row,15.0,0.0,13,0.0,11.0,0.0,0,0.0
