effektivitet,djup,ISO8601,kvalitet,sover,vaken
"99,1",02:47:54,2022-08-23 00:00:00,06:48:00,09:40:00,00:05:00
"91,0",02:43:42,2022-08-24 00:00:00,06:15:15,08:26:00,00:50:00
"97,1",02:46:25,2022-08-25 00:00:00,05:50:08,07:49:00,00:14:00
"94,2",01:56:32,2022-08-26 00:00:00,04:58:37,07:17:00,00:27:00
"96,1",02:13:04,2022-08-27 00:00:00,04:59:50,06:54:00,00:17:00
"100,0",01:47:20,2022-08-28 00:00:00,03:50:56,05:22:00,00:00:00
"100,0",02:32:15,2022-08-29 00:00:00,05:11:59,07:52:00,00:00:00
"94,4",02:56:22,2022-08-30 00:00:00,05:39:55,08:05:00,00:29:00
"100,0",02:47:12,2022-08-31 00:00:00,05:55:51,07:36:00,00:00:00
"100,0",03:18:33,2022-09-01 00:00:00,06:22:13,08:24:00,00:00:00
"92,6",03:56:47,2022-09-02 00:00:00,06:05:24,07:39:00,00:32:00
"97,0",02:28:51,2022-09-03 00:00:00,06:04:46,08:41:00,00:16:00
"97,5",03:04:44,2022-09-04 00:00:00,06:00:27,08:28:00,00:13:00
"91,2",02:17:15,2022-09-05 00:00:00,05:55:13,08:08:00,00:47:00
"93,8",02:47:41,2022-09-06 00:00:00,06:23:42,09:24:00,00:37:00
"96,2",02:45:41,2022-09-07 00:00:00,06:01:50,08:02:00,00:19:00
"98,4",02:21:06,2022-09-08 00:00:00,05:36:00,07:19:00,00:07:00
"92,0",02:25:18,2022-09-09 00:00:00,05:04:14,08:14:00,00:43:00
"89,3",01:14:28,2022-09-10 00:00:00,04:44:07,06:57:00,00:50:00
"89,2",03:11:35,2022-09-11 00:00:00,05:11:53,07:43:00,00:56:00
"98,2",02:01:06,2022-09-12 00:00:00,05:16:26,07:19:00,00:08:00
"91,8",03:15:00,2022-09-13 00:00:00,04:52:24,06:30:00,00:35:00
"92,0",02:26:12,2022-09-14 00:00:00,04:48:56,07:04:00,00:37:00
"92,2",03:42:11,2022-09-16 00:00:00,06:08:03,07:54:00,00:40:00
"91,5",01:27:48,2022-09-17 00:00:00,04:38:00,07:19:00,00:41:00
"100,0",02:51:17,2022-09-18 00:00:00,05:31:12,07:16:00,00:00:00
"100,0",02:32:30,2022-09-19 00:00:00,05:43:48,08:08:00,00:00:00
"96,7",01:46:41,2022-09-20 00:00:00,04:49:21,07:22:00,00:15:00
"100,0",02:58:21,2022-09-21 00:00:00,05:40:41,07:11:00,00:00:00
"100,0",02:44:14,2022-09-22 00:00:00,05:29:29,07:13:00,00:00:00
"100,0",01:30:58,2022-09-23 00:00:00,05:55:03,07:50:00,00:00:00
"92,4",02:47:45,2022-09-24 00:00:00,05:45:54,08:08:00,00:40:00
"91,3",02:51:31,2022-09-25 00:00:00,05:25:31,07:01:00,00:40:00
"89,4",03:10:48,2022-09-26 00:00:00,06:26:33,08:19:00,00:59:00
"100,0",02:43:42,2022-09-27 00:00:00,05:33:54,08:26:00,00:00:00
"89,1",02:22:20,2022-09-28 00:00:00,05:14:24,07:07:00,00:52:00
"89,9",04:03:37,2022-09-29 00:00:00,06:27:54,07:52:00,00:53:00
"93,2",02:34:50,2022-09-30 00:00:00,05:44:58,08:00:00,00:35:00
"94,5",02:14:43,2022-10-01 00:00:00,05:43:58,07:59:00,00:28:00
"92,6",03:21:30,2022-10-02 00:00:00,05:36:30,07:45:00,00:37:00
"91,5",02:44:20,2022-10-03 00:00:00,05:43:50,08:13:00,00:46:00
"94,7",03:06:12,2022-10-04 00:00:00,05:36:54,08:01:00,00:27:00
"95,0",02:26:28,2022-10-05 00:00:00,05:28:16,08:18:00,00:26:00
"98,3",02:31:20,2022-10-06 00:00:00,05:24:18,07:34:00,00:08:00
"97,0",03:16:09,2022-10-07 00:00:00,06:04:27,08:33:00,00:16:00
"88,4",02:10:12,2022-10-08 00:00:00,04:49:21,07:14:00,00:57:00
"96,7",03:00:00,2022-10-09 00:00:00,05:06:43,06:45:00,00:14:00
"100,0",03:33:24,2022-10-10 00:00:00,06:17:43,08:23:00,00:00:00
"92,5",02:41:27,2022-10-11 00:00:00,04:58:42,07:35:00,00:37:00
"94,1",03:25:12,2022-10-12 00:00:00,06:15:18,08:33:00,00:32:00
"98,2",03:07:21,2022-10-13 00:00:00,06:14:42,08:04:00,00:09:00
"94,3",03:10:43,2022-10-14 00:00:00,05:08:12,07:25:00,00:27:00
"94,7",02:29:12,2022-10-15 00:00:00,04:23:33,06:13:00,00:21:00
"90,2",01:31:34,2022-10-16 00:00:00,04:15:06,05:51:00,00:38:00
"97,9",02:00:17,2022-10-17 00:00:00,04:35:59,07:01:00,00:09:00
"90,5",03:03:00,2022-10-18 00:00:00,05:34:10,08:08:00,00:51:00
"95,5",02:32:11,2022-10-19 00:00:00,05:23:16,08:07:00,00:23:00
"89,7",03:00:22,2022-10-20 00:00:00,06:12:54,08:16:00,00:57:00
"88,0",02:12:31,2022-10-21 00:00:00,04:38:46,07:07:00,00:58:00
"99,3",02:18:51,2022-10-22 00:00:00,05:01:32,07:12:00,00:03:00
"86,4",02:58:37,2022-10-23 00:00:00,05:01:00,06:27:00,01:01:00
"100,0",02:47:39,2022-10-24 00:00:00,04:42:11,07:22:00,00:00:00
"92,4",02:50:58,2022-10-25 00:00:00,06:14:13,09:04:00,00:45:00
"89,4",03:47:34,2022-10-26 00:00:00,06:27:32,08:51:00,01:03:00
"93,7",03:18:33,2022-10-27 00:00:00,06:12:38,08:24:00,00:34:00
"97,5",02:58:04,2022-10-28 00:00:00,05:39:53,07:40:00,00:12:00
"93,1",02:13:48,2022-10-29 00:00:00,05:10:40,07:26:00,00:33:00
"95,3",02:07:09,2022-10-30 00:00:00,05:17:01,07:25:00,00:22:00
