exercise,set #,reps,weight,bodyweight,date
romanian deadlifts,1,11.0,105.0,79.88,2022-05-02
romanian deadlifts,2,10.0,105.0,79.88,2022-05-02
romanian deadlifts,3,13.0,100.0,79.88,2022-05-02
reverse nordics,1,16.0,10.0,79.88,2022-05-02
reverse nordics,2,14.0,0.0,79.88,2022-05-02
reverse nordics,3,14.0,0.0,79.88,2022-05-02
bench press (pause),1,4.0,65.0,80.91499999999999,2022-05-04
bench press (pause),2,5.0,60.0,80.91499999999999,2022-05-04
bench press (pause),3,6.0,57.5,80.91499999999999,2022-05-04
bench press (pause),4,5.0,57.5,80.91499999999999,2022-05-04
dips,1,10.0,0.0,80.91499999999999,2022-05-04
dips,2,9.0,0.0,80.91499999999999,2022-05-04
dips,3,8.0,0.0,80.91499999999999,2022-05-04
one arm lat pulldown,1,10.0,25.0,80.91499999999999,2022-05-04
one arm lat pulldown,2,10.0,25.0,80.91499999999999,2022-05-04
one arm lat pulldown,3,9.0,25.0,80.91499999999999,2022-05-04
inverted rows,1,14.0,0.0,80.91499999999999,2022-05-04
inverted rows,2,10.0,0.0,80.91499999999999,2022-05-04
inverted rows,3,9.0,0.0,80.91499999999999,2022-05-04
side lateral,1,16.0,5.0,80.91499999999999,2022-05-04
side lateral,2,15.0,5.0,80.91499999999999,2022-05-04
side lateral,3,12.0,5.0,80.91499999999999,2022-05-04
tricep extensions,1,15.0,0.0,80.91499999999999,2022-05-04
tricep extensions,2,12.0,0.0,80.91499999999999,2022-05-04
tricep extensions,3,10.0,0.0,80.91499999999999,2022-05-04
atg split squats,1,20.0,0.0,80.76,2022-05-06
atg split squats,2,18.0,0.0,80.76,2022-05-06
atg split squats,3,18.0,0.0,80.76,2022-05-06
hamstring curls,1,15.0,5.0,80.76,2022-05-06
hamstring curls,2,14.0,5.0,80.76,2022-05-06
